日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
1150706,漲升股利150報酬指數,34300.18,-,271.23,-0.78,
1150706,藍籌30報酬指數,39600.57,-,846.40,-2.09,
1150706,工業菁英30報酬指數,35722.64,-,542.98,-1.50,
1150706,低波動股利精選30報酬指數,18638.47,+,73.87,0.40,
1150706,中小型A級動能50報酬指數,46613.27,-,"1,036.34",-2.17,
1150706,特選高息低波報酬指數,19704.13,+,158.20,0.81,
1150706,臺灣永續報酬指數,36586.08,-,370.19,-1.00,
1150706,存股雙十等權重報酬指數,31780.35,-,606.03,-1.87,
1150706,特選大蘋果報酬指數,42061.80,-,749.85,-1.75,
1150706,中小型300報酬指數,24017.06,-,27.40,-0.11,
1150706,微波高息精選20報酬指數,19192.17,-,191.39,-0.99,
1150706,特選世代行動通訊報酬指數,25211.43,-,373.29,-1.46,
1150706,智慧投資多因子30報酬指數,11195.22,+,39.96,0.36,
1150706,特選大蘋果報酬正向兩倍指數,269013.99,-,"9,765.70",-3.50,
1150706,特選大蘋果報酬反向一倍指數,1003.48,+,17.27,1.75,
1150706,臺灣上櫃永續報酬指數,18272.61,-,238.37,-1.29,
1150706,特選台股領航報酬指數,33088.68,-,526.18,-1.57,
1150706,特選Smart多因子報酬指數,24581.92,-,259.84,-1.05,
1150706,特選ESG高股息報酬指數,18637.30,-,33.82,-0.18,
1150706,特選上櫃ESG成長報酬指數,12098.37,-,283.04,-2.29,
1150706,臺灣優息存股報酬指數,7210.12,+,68.19,0.95,
1150706,特選上櫃ESG永續高股息報酬指數,19889.25,+,349.18,1.79,
1150706,特選臺灣金融高股息存股報酬指數,11559.95,+,107.82,0.94,
1150706,特選臺灣產業龍頭存股等權重報酬指數,10840.73,-,13.43,-0.12,
1150706,上櫃ESG 30報酬指數,18050.28,-,445.45,-2.41,
1150706,臺灣ESG低碳50報酬指數,19383.74,-,190.50,-0.97,
1150706,臺灣創新板報酬指數,23915.40,-,211.86,-0.88,
1150706,特選上櫃ESG龍頭報酬指數,17493.72,+,294.98,1.72,
1150706,臺灣市值動能50報酬指數,11715.97,-,94.65,-0.80,
1150706,臺灣護城河概念優選50報酬指數,11144.63,-,57.81,-0.52,
1150706,特選臺灣中小型精選動能100報酬指數,7862.93,-,64.06,-0.81,
1150706,特選臺灣大型股25報酬指數,12299.29,-,29.45,-0.24,
1150706,特選臺灣TOP 50報酬指數,9234.88,-,89.46,-0.96,
1150706,特選臺灣市值領航50報酬指數,6436.31,-,85.05,-1.30,
