Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1150520,9911,櫻花,185098,15282591,83.00,83.00,82.10,82.80,0.5000,572
1150520,9912,偉聯,48849,607877,12.50,12.60,12.40,12.50,0.0500,73
1150520,9914,美利達,1683649,115109212,68.50,69.60,67.50,68.50,0.0000,1826
1150520,9917,中保科,472109,53157960,113.50,113.50,112.00,113.00,0.0000,434
1150520,9918,欣天然,76336,3281289,43.25,43.45,42.65,43.45,0.2000,134
1150520,9919,康那香,249922,3558819,14.55,14.55,14.10,14.25,-0.1000,205
1150520,9921,巨大,1441632,102126411,72.00,72.10,70.10,70.60,-1.4000,1557
1150520,9924,福興,106614,4477603,42.05,42.10,41.90,41.90,-0.1000,141
1150520,9925,新保,237126,9531054,40.15,40.35,40.10,40.15,-0.0500,210
1150520,9926,新海,44017,2160221,49.10,49.15,49.00,49.05,-0.0500,78
1150520,9927,泰銘,127430,8490539,66.70,66.80,66.30,66.70,0.1000,133
1150520,9928,中視,20837,366589,17.55,17.70,17.55,17.70,0.0000,18
1150520,9929,秋雨,31226,349346,11.45,11.50,11.05,11.40,-0.2500,36
1150520,9930,中聯資源,110856,7493884,68.00,68.00,67.40,67.60,-0.3000,149
1150520,9931,欣高,23183,786297,33.95,34.00,33.80,33.90,0.0000,26
1150520,9933,中鼎,7553068,288799192,37.75,38.80,37.45,38.75,1.4000,4694
1150520,9934,成霖,212955,2063194,9.75,9.75,9.65,9.71,0.0100,120
1150520,9935,慶豐富,117521,2175525,18.55,18.60,18.40,18.55,0.1000,95
1150520,9937,全國,84082,4691406,56.00,56.00,55.40,56.00,-0.4000,75
1150520,9938,百和,1722914,74846979,44.00,44.10,43.10,43.40,-0.6000,1355
1150520,9939,宏全,1499198,185265559,124.00,125.00,122.50,124.00,-1.5000,1353
1150520,9940,信義,353070,6595077,18.85,18.85,18.45,18.80,0.0000,270
1150520,9941,裕融,872711,64501494,74.30,74.40,73.60,73.70,0.1000,972
1150520,9941A,裕融甲特,2,101,,,,,0.0000,1
1150520,9942,茂順,73540,8591222,117.00,117.00,116.50,117.00,0.5000,94
1150520,9943,好樂迪,59812,3305271,55.10,55.40,55.10,55.10,0.0000,78
1150520,9944,新麗,97420,1644113,16.90,17.00,16.75,17.00,0.1000,57
1150520,9945,潤泰新,9006532,210645096,23.95,23.95,23.20,23.40,-0.5500,3977
1150520,9946,三發地產,393668,6562922,16.70,16.80,16.55,16.80,0.1000,223
